Tab,Arrivo,Categoria,Cosa fare,Cosa prenotare,Costo stimato USD,Da vedere,Data,Data notte,Google Maps,Guida stimata,Indirizzo,Link,Link prenotazione,Link utile,Luogo,Nome,Nome alloggio,Nota,Note,Pagamento,Partenza,Per quando,Priorità,Priorità del giorno,Stato,Tema,Titolo giornata,Voce,Zona
prenotazioni,,,,Sphere / show Las Vegas,variabile,,,,,,,,,https://www.thesphere.com/shows,,,,,Da fuori gratis; dentro solo con biglietto.,,,2026-07-08,Media,,Opzionale,,,,
prenotazioni,,,,Warner Bros Studio Tour,70-80 circa,,,,,,,,,https://www.wbstudiotour.com/,,,,,Solo se volete sacrificare parte del giro LA.,,,2026-07-07,Media,,Opzionale,,,,
prenotazioni,,,,Akhob James Turrell,0 ma booking obbligatorio,,,,,,,,,https://www.louisvuitton.com/eng-us/stories/akhob,,,,,Se vi interessa arte e trovate slot.,,,2026-07-08,Bassa,,Opzionale,,,,
link_utili,,Planner,,,,,,,,,,"https://www.google.com/maps/dir/San+Francisco,+CA/Santa+Barbara,+CA/Los+Angeles,+CA/Las+Vegas,+NV/Grand+Canyon+Village,+AZ/Page,+AZ/Zion+National+Park,+UT/Salt+Lake+City,+UT",,,,Google Maps route completa,,,Route base del viaggio.,,,,,,,,,,
link_utili,,Parcheggi,,,,,,,,,,https://www.bestparking.com/,,,,BestParking,,,Utile soprattutto a Los Angeles.,,,,,,,,,,
link_utili,,San Francisco,,,,,,,,,,https://www.cityexperiences.com/san-francisco/city-cruises/alcatraz/tour-options/,,,,Alcatraz City Cruises,,,Biglietti ufficiali Alcatraz.,,,,,,,,,,
link_utili,,San Francisco,,,,,,,,,,https://www.sfmoma.org/visit/,,,,SFMOMA,,,Museo opzionale.,,,,,,,,,,
link_utili,,San Francisco,,,,,,,,,,https://www.famsf.org/visit/de-young,,,,De Young Museum,,,Museo/torre osservazione opzionale.,,,,,,,,,,
link_utili,,San Francisco,,,,,,,,,,https://sfrecpark.org/770/Golden-Gate-Park,,,,Golden Gate Park,,,Parco grande: scegliere solo una zona.,,,,,,,,,,
link_utili,,Los Angeles,,,,,,,,,,https://www.wbstudiotour.com/,,,,Warner Bros Studio Tour,,,Tour consigliato dalla guida se interessati a cinema/backstage.,,,,,,,,,,
link_utili,,Los Angeles,,,,,,,,,,https://griffithobservatory.org/,,,,Griffith Observatory,,,"Vista, museo, Hollywood sign da lontano.",,,,,,,,,,
link_utili,,Los Angeles,,,,,,,,,,https://www.santamonica.com/places-to-go/santa-monica-pier/,,,,Santa Monica Pier,,,Santa Monica/Venice cluster.,,,,,,,,,,
link_utili,,Las Vegas,,,,,,,,,,https://www.thesphere.com/shows,,,,Sphere,,,Show e biglietti Sphere.,,,,,,,,,,
link_utili,,Las Vegas,,,,,,,,,,https://vegasexperience.com/,,,,Fremont Street Experience,,,Viva Vision e Fremont.,,,,,,,,,,
link_utili,,Las Vegas,,,,,,,,,,https://bellagio.mgmresorts.com/en/entertainment/fountains-of-bellagio.html,,,,Bellagio Fountains,,,Show gratuito fontane.,,,,,,,,,,
link_utili,,Las Vegas,,,,,,,,,,https://www.neonmuseum.org/,,,,The Neon Museum,,,Opzionale Las Vegas.,,,,,,,,,,
link_utili,,Parchi,,,,,,,,,,https://www.nps.gov/planyourvisit/passes.htm,,,,America the Beautiful Pass,,,Pass parchi USA.,,,,,,,,,,
link_utili,,Parchi,,,,,,,,,,https://www.nps.gov/grca/planyourvisit/south-rim.htm,,,,Grand Canyon South Rim,,,Info ufficiali South Rim.,,,,,,,,,,
link_utili,,Parchi,,,,,,,,,,https://www.nps.gov/grca/planyourvisit/shuttle-buses.htm,,,,Grand Canyon shuttle,,,Info shuttle viewpoint.,,,,,,,,,,
link_utili,,Page,,,,,,,,,,https://cityofpage.org/official-horseshoe-bend-information,,,,Horseshoe Bend,,,Info parcheggio e visita.,,,,,,,,,,
link_utili,,Page,,,,,,,,,,https://navajonationparks.org/guided-tour-operators/antelope-canyon-tour-operators/,,,,Navajo Antelope operators,,,Elenco operatori autorizzati.,,,,,,,,,,
link_utili,,Page,,,,,,,,,,https://www.antelopelowercanyon.com/,,,,Lower Antelope Canyon,,,Una delle opzioni pratiche.,,,,,,,,,,
link_utili,,Page,,,,,,,,,,https://navajotours.com/,,,,Upper Antelope Navajo Tours,,,Una delle opzioni pratiche.,,,,,,,,,,
link_utili,,Zion,,,,,,,,,,https://www.nps.gov/zion/index.htm,,,,Zion official,,,Info parco.,,,,,,,,,,
link_utili,,Zion,,,,,,,,,,https://www.nps.gov/zion/planyourvisit/zion-canyon-shuttle-system.htm,,,,Zion shuttle,,,Info shuttle.,,,,,,,,,,
link_utili,,Zion,,,,,,,,,,https://www.nps.gov/thingstodo/hike-canyon-overlook.htm,,,,Canyon Overlook Trail,,,Mini-hike consigliata.,,,,,,,,,,
link_utili,,Zion,,,,,,,,,,https://www.nps.gov/thingstodo/hike-riverside-walk.htm,,,,Riverside Walk,,,Passeggiata facile.,,,,,,,,,,
link_utili,,Auto,,,,,,,,,,https://www.aci.it/i-servizi/guide-utili/guida-allestero/patente-internazionale.html,,,,Patente internazionale ACI,,,Verifica patente internazionale.,,,,,,,,,,
note,,,,,,,,,,,,,,,,,,"Importati solo elementi compatibili con San Francisco, Santa Barbara, Los Angeles, Las Vegas, Grand Canyon, Page/Antelope, Zion e trasferimento a SLC.",,,,,,,,Filtro guida collega,,,
note,,,,,,,,,,,,,,,,,,Sono state escluse le deviazioni troppo lunghe o non coerenti con il giro 4–12 luglio.,,,,,,,,Esclusioni deliberate,,,
note,,,,,,,,,,,,,,,,,,Evitare Tenderloin/dietro Union Square. Alcatraz merita se prenotata. Cable car opzionale.,,,,,,,,San Francisco,,,
note,,,,,,,,,,,,,,https://www.bestparking.com/,,,,Santa Monica/Venice meglio prima del buio; parcheggi anche 20$ al giorno. Downtown solo se avete energie e senza passare da Skid Row.,,,,,,,,Los Angeles,,,
note,,,,,,,,,,,,,,https://www.nps.gov/grca/planyourvisit/south-rim.htm,,,,"Non puntare tutto su un solo viewpoint: se c’è nebbia/visibilità variabile, provare più punti. Dormire vicino al canyon.",,,,,,,,Grand Canyon,,,
note,,,,,,,,,,,,,,https://navajonationparks.org/guided-tour-operators/antelope-canyon-tour-operators/,,,,Horseshoe Bend breve ma must. Antelope va prenotato; arrivare prima dell’orario.,,,,,,,,Page / Antelope,,,
note,,,,,,,,,,,,,,https://www.nps.gov/zion/planyourvisit/zion-canyon-shuttle-system.htm,,,,Canyon Overlook è la mini-hike prioritaria. Per Zion Canyon usare shuttle; Riverside Walk è la passeggiata facile consigliata.,,,,,,,,Zion,,,
note,,,,,,,,,,,,,,,,,,Non provare a vedere tutto: scegliere Strip + Fremont + Sphere da fuori/Bellagio/Venetian. Dopo un po’ molti hotel sembrano simili.,,,,,,,,Las Vegas,,,
note,,,,,,,,,,,,,,,,,,"Il foglio è pensato per boomer: aggiungere righe semplici senza ID, senza orari, senza colonne tecniche.",,,,,,,,Operatività,,,
